tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***40679,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,11,NR,70 MILL ST,,,ON
***54029,20170101,415,PARK COMMERC LOAD ZONE NOT LDG,40,12,NR,60 ST PATRICK ST,,,ON
***59051,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,12,S/S,ALEXANDER ST,E/O,YONGE ST,ON
***39762,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,12,NR,326 CARLAW AVE,,,ON
***40680,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,12,NR,70 MILL ST,,,ON
***66105,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,12,OPP,245 CARLAW AVE,,,ON
***92321,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,12,N/S,MELGUND RD,W/O,HILTON AVE,ON
***10598,20170101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,13,W/S,SOHO ST,S/O,PHOEBE ST,ON
***54030,20170101,415,PARK COMMERC LOAD ZONE NOT LDG,40,13,NR,60 ST PATRICK ST,,,ON
***59052,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,13,S/S,ALEXANDER ST,E/O,YONGE ST,ON
***39763,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,13,NR,320 CARLAW AVE,,,ON
***40681,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,13,NR,80 MILL ST,,,ON
***48916,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,13,NR,128 MONTGOMERY AVE,,,ON
***92322,20170101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,13,N/S,MELGUND RD,W/O,HILTON AVE,ON
***92529,20170101,406,PARK-VEH. W/O VALID ONT PLATE,40,13,N/S,KEITH AVE,W/O,MCROBERTS AVE,ON
***92530,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,13,N/S,KEITH AVE,W/O,MCROBERTS AVE,ON
***19666,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,14,NR,20 SOHO ST,,,ON
***54031,20170101,415,PARK COMMERC LOAD ZONE NOT LDG,40,14,NR,88 ST PATRICK ST,,,ON
***59053,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,14,S/S,ALEXANDER ST,E/O,YONGE ST,ON
***39764,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,14,NR,284 CARLAW AVE,,,ON
***40682,20170101,406,PARK-VEH. W/O VALID ONT PLATE,40,14,NR,80 MILL ST,,,ON
***40683,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,14,NR,80 MILL ST,,,ON
***48917,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,14,OPP,113 MONTGOMERY AVE,,,ON
***66106,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,14,OPP,230 CARLAW AVE,,,ON
***59054,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,15,S/S,ALEXANDER ST,E/O,YONGE ST,ON
***39765,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,15,NR,270 CARLAW AVE,,,ON
***40684,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,15,NR,80 MILL ST,,,ON
***66107,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,15,NR,225 CARLAW AVE,,,ON
***74667,20170101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,15,NR,77 ELM ST,,,ON
***54032,20170101,415,PARK COMMERC LOAD ZONE NOT LDG,40,16,NR,120 ST PATRICK ST,,,ON
***48918,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,16,NR,64 MONTGOMERY AVE,,,ON
***66108,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,16,NR,245 CARLAW AVE,,,ON
***39766,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,17,NR,245 CARLAW AVE,,,ON
***48919,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,17,NR,48 MONTGOMERY AVE,,,ON
***92531,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,17,N/S,CORBY AVE,E/O,CALEDONIA PARK RD,ON
***92532,20170101,406,PARK-VEH. W/O VALID ONT PLATE,40,17,N/S,CORBY AVE,E/O,CALEDONIA PARK RD,ON
***19667,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,18,NR,30 PHOEBE ST,,,ON
***54033,20170101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,18,NR,132 ST PATRICK ST,,,ON
***10599,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,19,NR,28 PHOEBE ST,,,ON
***54034,20170101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,19,NR,132 ST PATRICK ST,,,ON
***48920,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,19,OPP,30 ROSELAWN AVE,,,ON
***66109,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,19,NR,245 CARLAW AVE,,,ON
***10600,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,20,NR,36 PHOEBE ST,,,ON
***10601,20170101,29,PARK PROHIBITED TIME NO PERMIT,30,20,NR,36 PHOEBE ST,,,ON
